
Begin Step 0, Time: 0, Systemstep: 0

Begin Step 1, Time: 0.0141449, Systemstep: 0.0141449

Begin Step 2, Time: 0.0282898, Systemstep: 0.0141449

Begin Step 3, Time: 0.0424347, Systemstep: 0.0141449

Begin Step 4, Time: 0.0565796, Systemstep: 0.0141449

Begin Step 5, Time: 0.0707245, Systemstep: 0.0141449

Begin Step 6, Time: 0.0848694, Systemstep: 0.0141449

Begin Step 7, Time: 0.0990143, Systemstep: 0.0141449

Begin Step 8, Time: 0.113159, Systemstep: 0.0141449

Begin Step 9, Time: 0.127304, Systemstep: 0.0141449

Begin Step 10, Time: 0.141449, Systemstep: 0.0141449

Begin Step 11, Time: 0.155594, Systemstep: 0.0141449

Begin Step 12, Time: 0.169739, Systemstep: 0.0141449

Begin Step 13, Time: 0.183884, Systemstep: 0.0141449

Begin Step 14, Time: 0.198029, Systemstep: 0.0141449

Begin Step 15, Time: 0.212173, Systemstep: 0.0141449

Begin Step 16, Time: 0.226318, Systemstep: 0.0141449

Begin Step 17, Time: 0.240463, Systemstep: 0.0141449

Begin Step 18, Time: 0.254608, Systemstep: 0.0141449

Begin Step 19, Time: 0.268753, Systemstep: 0.0141449

Begin Step 20, Time: 0.282898, Systemstep: 0.0141449

Begin Step 21, Time: 0.297043, Systemstep: 0.0141449

Begin Step 22, Time: 0.311188, Systemstep: 0.0141449

Begin Step 23, Time: 0.325333, Systemstep: 0.0141449

Begin Step 24, Time: 0.339478, Systemstep: 0.0141449

Begin Step 25, Time: 0.353622, Systemstep: 0.0141449

Begin Step 26, Time: 0.367767, Systemstep: 0.0141449

Begin Step 27, Time: 0.381912, Systemstep: 0.0141449

Begin Step 28, Time: 0.396057, Systemstep: 0.0141449

Begin Step 29, Time: 0.410202, Systemstep: 0.0141449

Begin Step 30, Time: 0.424347, Systemstep: 0.0141449

Begin Step 31, Time: 0.438492, Systemstep: 0.0141449

Begin Step 32, Time: 0.452637, Systemstep: 0.0141449

Begin Step 33, Time: 0.466782, Systemstep: 0.0141449

Begin Step 34, Time: 0.480927, Systemstep: 0.0141449

Begin Step 35, Time: 0.495071, Systemstep: 0.0141449

Begin Step 36, Time: 0.509216, Systemstep: 0.0141449

Begin Step 37, Time: 0.523361, Systemstep: 0.0141449

Begin Step 38, Time: 0.537506, Systemstep: 0.0141449

Begin Step 39, Time: 0.551651, Systemstep: 0.0141449

Begin Step 40, Time: 0.565796, Systemstep: 0.0141449

Begin Step 41, Time: 0.579941, Systemstep: 0.0141449

Begin Step 42, Time: 0.594086, Systemstep: 0.0141449

Begin Step 43, Time: 0.608231, Systemstep: 0.0141449

Begin Step 44, Time: 0.622375, Systemstep: 0.0141449

Begin Step 45, Time: 0.63652, Systemstep: 0.0141449

Begin Step 46, Time: 0.650665, Systemstep: 0.0141449

Begin Step 47, Time: 0.66481, Systemstep: 0.0141449

Begin Step 48, Time: 0.678955, Systemstep: 0.0141449

Begin Step 49, Time: 0.6931, Systemstep: 0.0141449

Begin Step 50, Time: 0.707245, Systemstep: 0.0141449

Begin Step 51, Time: 0.72139, Systemstep: 0.0141449

Begin Step 52, Time: 0.735535, Systemstep: 0.0141449

Begin Step 53, Time: 0.74968, Systemstep: 0.0141449

Begin Step 54, Time: 0.763824, Systemstep: 0.0141449

Begin Step 55, Time: 0.777969, Systemstep: 0.0141449

Begin Step 56, Time: 0.792114, Systemstep: 0.0141449

Begin Step 57, Time: 0.806259, Systemstep: 0.0141449

Begin Step 58, Time: 0.820404, Systemstep: 0.0141449

Begin Step 59, Time: 0.834549, Systemstep: 0.0141449

Begin Step 60, Time: 0.848694, Systemstep: 0.0141449

Begin Step 61, Time: 0.862839, Systemstep: 0.0141449

Begin Step 62, Time: 0.876984, Systemstep: 0.0141449

Begin Step 63, Time: 0.891129, Systemstep: 0.0141449

Begin Step 64, Time: 0.905273, Systemstep: 0.0141449

Begin Step 65, Time: 0.919418, Systemstep: 0.0141449

Begin Step 66, Time: 0.933563, Systemstep: 0.0141449

Begin Step 67, Time: 0.947708, Systemstep: 0.0141449

Begin Step 68, Time: 0.961853, Systemstep: 0.0141449

Begin Step 69, Time: 0.975998, Systemstep: 0.0141449

Begin Step 70, Time: 0.990143, Systemstep: 0.0141449

Begin Step 71, Time: 1.00429, Systemstep: 0.0141449

Begin Step 72, Time: 1.01843, Systemstep: 0.0141449

Begin Step 73, Time: 1.03258, Systemstep: 0.0141449

Begin Step 74, Time: 1.04672, Systemstep: 0.0141449

Begin Step 75, Time: 1.06087, Systemstep: 0.0141449

Begin Step 76, Time: 1.07501, Systemstep: 0.0141449

Begin Step 77, Time: 1.08916, Systemstep: 0.0141449

Begin Step 78, Time: 1.1033, Systemstep: 0.0141449

Begin Step 79, Time: 1.11745, Systemstep: 0.0141449

Begin Step 80, Time: 1.13159, Systemstep: 0.0141449

Begin Step 81, Time: 1.14574, Systemstep: 0.0141449

Begin Step 82, Time: 1.15988, Systemstep: 0.0141449

Begin Step 83, Time: 1.17403, Systemstep: 0.0141449

Begin Step 84, Time: 1.18817, Systemstep: 0.0141449

Begin Step 85, Time: 1.20232, Systemstep: 0.0141449

Begin Step 86, Time: 1.21646, Systemstep: 0.0141449

Begin Step 87, Time: 1.23061, Systemstep: 0.0141449

Begin Step 88, Time: 1.24475, Systemstep: 0.0141449

Begin Step 89, Time: 1.2589, Systemstep: 0.0141449

Begin Step 90, Time: 1.27304, Systemstep: 0.0141449

Begin Step 91, Time: 1.28719, Systemstep: 0.0141449

Begin Step 92, Time: 1.30133, Systemstep: 0.0141449

Begin Step 93, Time: 1.31548, Systemstep: 0.0141449

Begin Step 94, Time: 1.32962, Systemstep: 0.0141449

Begin Step 95, Time: 1.34377, Systemstep: 0.0141449

Begin Step 96, Time: 1.35791, Systemstep: 0.0141449

Begin Step 97, Time: 1.37206, Systemstep: 0.0141449

Begin Step 98, Time: 1.3862, Systemstep: 0.0141449

Begin Step 99, Time: 1.40034, Systemstep: 0.0141449

Begin Step 100, Time: 1.41449, Systemstep: 0.0141449

Begin Step 101, Time: 1.42863, Systemstep: 0.0141449

Begin Step 102, Time: 1.44278, Systemstep: 0.0141449

Begin Step 103, Time: 1.45692, Systemstep: 0.0141449

Begin Step 104, Time: 1.47107, Systemstep: 0.0141449

Begin Step 105, Time: 1.48521, Systemstep: 0.0141449

Begin Step 106, Time: 1.49936, Systemstep: 0.0141449

Begin Step 107, Time: 1.5135, Systemstep: 0.0141449

Begin Step 108, Time: 1.52765, Systemstep: 0.0141449

Begin Step 109, Time: 1.54179, Systemstep: 0.0141449

Begin Step 110, Time: 1.55594, Systemstep: 0.0141449

Begin Step 111, Time: 1.57008, Systemstep: 0.0141449

Begin Step 112, Time: 1.58423, Systemstep: 0.0141449

Begin Step 113, Time: 1.59837, Systemstep: 0.0141449

Begin Step 114, Time: 1.61252, Systemstep: 0.0141449

Begin Step 115, Time: 1.62666, Systemstep: 0.0141449

Begin Step 116, Time: 1.64081, Systemstep: 0.0141449

Begin Step 117, Time: 1.65495, Systemstep: 0.0141449

