TimeStep Time MassFrac x y z vx vy vz
0 0.000000 0.992700 290.735229 -469.016968 1773.200562 -0.000010 1.420022 -0.000051
1311 18.540000 0.031420 306.399261 65.212097 -3.361223 -0.093762 1.403264 0.000489
2622 37.079999 0.006720 339.812103 94.982841 -0.723598 -0.170559 1.384731 0.000395
3933 55.619999 0.002490 345.020905 123.068565 -0.834771 -0.247973 1.359654 0.000597
5243 74.159998 0.001170 340.733002 152.310059 -2.342359 -0.321033 1.327153 0.000876
6554 92.699998 0.000580 335.174713 190.033173 -3.835942 -0.382864 1.284820 -0.000173
7865 111.239998 0.000410 326.664978 223.211105 -5.293858 -0.441187 1.236861 -0.000321
9176 129.779997 0.000340 317.029053 252.280228 -5.480788 -0.494896 1.188634 -0.000591
10486 148.319997 0.000250 311.646423 271.176147 -5.137711 -0.549616 1.151612 -0.002987
11797 166.860000 0.000170 302.655701 283.042267 -6.278676 -0.609704 1.113777 0.002777
13108 185.399999 0.000140 290.636047 300.610321 -5.867815 -0.661827 1.067064 0.005717
14418 203.939999 0.000110 277.098999 314.349243 -7.829470 -0.717629 1.020459 0.011735
15729 222.479998 0.000100 266.664825 326.155731 -11.010033 -0.769118 0.979194 0.021728
17040 241.019998 0.000090 249.969559 342.860840 -10.008085 -0.814893 0.926202 0.019485
18351 259.559998 0.000090 233.334991 357.261658 -9.578522 -0.858432 0.872313 0.025492
19661 278.099997 0.000090 217.099197 372.924896 -9.092601 -0.892434 0.817248 0.026909
20972 296.639997 0.000090 200.264740 387.561371 -8.581433 -0.923024 0.761565 0.028215
22283 315.180000 0.000070 182.893860 401.161072 -8.047085 -0.950312 0.705449 0.029409
23593 333.719999 0.000070 169.119675 413.813599 -4.668339 -0.974992 0.659308 0.020074
24904 352.259999 0.000070 150.840408 425.518341 -4.290410 -0.996385 0.603321 0.020684
26215 370.799999 0.000070 132.191956 436.184692 -3.901767 -1.014828 0.547313 0.021229
27526 389.339998 0.000060 113.228149 445.813446 -3.503608 -1.030430 0.491402 0.021713
28836 407.879998 0.000060 96.125671 458.426514 -1.604693 -1.033391 0.442924 0.021689
30147 426.419997 0.000060 76.867668 466.133057 -1.201182 -1.043648 0.388490 0.021831
31458 444.959997 0.000060 57.442291 472.834045 -0.795530 -1.051463 0.334440 0.021919
32768 463.500000 0.000060 37.893848 478.536926 -0.388806 -1.056942 0.280836 0.021947
34079 482.040000 0.000060 18.264708 483.250488 0.017870 -1.060182 0.227740 0.021911
35390 500.579999 0.000060 -1.403513 486.984772 0.423394 -1.061156 0.175201 0.021834
36701 519.119999 0.000060 -21.069040 489.751038 0.827385 -1.059898 0.123319 0.021738
38011 537.659998 0.000060 -40.691475 491.561279 1.229123 -1.056536 0.072067 0.021594
39322 556.199998 0.000060 -60.233273 492.427551 1.627825 -1.051214 0.021493 0.021411
40633 574.739998 0.000060 -79.658890 492.362610 2.022815 -1.044014 -0.028372 0.021192
41944 593.279997 0.000060 -98.934052 491.380035 2.413378 -1.034993 -0.077500 0.020933
43254 611.819997 0.000050 -118.025490 489.493652 2.798777 -1.024204 -0.125854 0.020634
44565 630.360000 0.000050 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
45876 648.899999 0.000050 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
47186 667.439999 0.000050 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
48497 685.979998 0.000050 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
49808 704.519998 0.000050 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
51119 723.059998 0.000050 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
52429 741.599997 0.000050 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
53740 760.139997 0.000050 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
55051 778.680000 0.000050 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
56361 797.219999 0.000050 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
57672 815.759999 0.000050 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
58983 834.299999 0.000050 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
60294 852.839998 0.000050 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
61604 871.379998 0.000050 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
62915 889.919997 0.000050 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
64226 908.459997 0.000050 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
65536 926.999997 0.000050 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
65537 927.000000 0.000050 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
